topic,frex_words,prob_words,lift_words,score_words
1,didn’t,don’t,doll,don’t
2,suzy,course,acquitted,snyder
3,ghetto,ghetto,ghettowache,ghetto
4,nesse,back,-star,benson
5,memorial,school,aizik,memorial
