gender,interviewer,total_documents,avg_topic_diversity,max_topic_prevalence
Male,Linda G. Kuzmack; Linda G. Kuzmack,10,0.916363093652642,0.723501429782495
Female,Linda G. Kuzmack; Linda G. Kuzmack,6,0.922733996794963,0.682263987183495
Male,Randy M. Goldman; Randy M. Goldman,4,0.910489228292678,0.645125392734037
Female,Adina Conn; Adina Conn,1,0.927782774351215,0.461251600557995
Male,Dr. Joan Ringelheim; Dr. Joan Ringelheim,5,0.911939717459734,0.715865601612706
Male,Michael Berenbaum; Dr. Joan Ringelheim,1,0.919796500359139,0.559743599426936
Male,Holly Snyder; Holly Snyder,1,0.88979626444207,0.726007372738024
Male,Dr. Radu Ioanid; Dr. Radu Ioanid,1,0.901794537042596,0.671473509593435
Female,Sandra Bradley; Sandra Bradley,1,0.908048369973356,0.642634902037635
Male,Judith Goldstein; Judith Goldstein,1,0.8901008299308,0.714561004114909
Female,Randy M. Goldman; Randy M. Goldman,1,0.90543052867832,0.641631335410087
Female,Katie Davis; Katie Davis,1,0.89867844887172,0.643774507900363
Female,Dr. Joan Ringelheim; Dr. Joan Ringelheim,1,0.932419015297481,0.459387343868314
Male,Ina Navazelskis; Ina Navazelskis,5,0.93308736700396,0.546408104534907
Male,Chris Johnson; Chris Johnson,1,0.954544479476866,0.254142062276407
Male,Mr. Scott Miller; Mr. Scott Miller,1,0.928527949543687,0.467222595696117
Female,Vera Frankl; Vera Frankl,1,0.890579942599031,0.716460372852361
Female,Sidney M. Bolkosky; Sidney M. Bolkosky,1,0.915129829523224,0.473049801617314
Female,Peggy Frankston; Peggy Frankston,1,0.9048485068085,0.660443293659004
Female,Ina Navazelskis; Ina Navazelskis,8,0.897346269433447,0.764637578378751
Male,Ann E. Erling Gofus; Ann E. Erling Gofus,1,0.941438386012891,0.371380865344605
Female,Agnieszka McClure; Agnieszka McClure,1,0.922939443163858,0.440322610635907
Male,Duncan Little; Duncan Little,1,0.913125249455524,0.596673195722828
Male,Sandra Bradley; Sandra Bradley,2,0.907186455477721,0.652959156269122
Male,Gail Schwartz; Gail Schwartz,6,0.930482747753642,0.615377611151643
Male,Mira Hodos; Mira Hodos,1,0.880333431240164,0.759177122123426
Female,Gail Schwartz; Gail Schwartz,1,0.941369130730764,0.400123200852923
Male,Anthony Young; Anthony Young,1,0.9099807424143,0.606662657091393
Male,NULL,14,0.919629838445653,0.779517367180695
Male,Jennifer Clayman,1,0.911933746824639,0.620826582281848
Female,Sandra Bradley,2,0.923275194902362,0.487380791238524
Male,Sandra Bradley,2,0.910643095772054,0.551541158526762
Male,Katie Davis,1,0.921184438766691,0.571485894753267
Female,Regine Beyer,3,0.942881750440802,0.362900994316775
Male,Dan Collison,1,0.873707695530633,0.784617515152181
Male,Dan Gedimen; Dan Gedimen,1,0.945523374663016,0.399050697527957
Male,Melissa Block; Melissa Block,1,0.945818097783989,0.350591762914913
Female,Arwin Donohue; Arwin Donohue,1,0.925382672709101,0.429369540536386
Female,NULL,7,0.926103676884182,0.731888980421446
