gender,interviewer,total_documents,avg_topic_diversity,max_topic_prevalence
Male,Linda G. Kuzmack; Linda G. Kuzmack,10,0.98369082947012,0.48630520794058
Female,Linda G. Kuzmack; Linda G. Kuzmack,6,0.983794009768142,0.551678378033584
Male,Randy M. Goldman; Randy M. Goldman,4,0.973662149643389,0.71705028658953
Female,Adina Conn; Adina Conn,1,0.969725914009894,0.577241090493559
Male,Dr. Joan Ringelheim; Dr. Joan Ringelheim,5,0.961656706828787,0.811121991860648
Male,Michael Berenbaum; Dr. Joan Ringelheim,1,0.981899085135472,0.338948769363904
Male,Holly Snyder; Holly Snyder,1,0.969177491359513,0.586211192461833
Male,Dr. Radu Ioanid; Dr. Radu Ioanid,1,0.988053373238945,0.248234001479894
Female,Sandra Bradley; Sandra Bradley,1,0.984436979292457,0.313001118479825
Male,Judith Goldstein; Judith Goldstein,1,0.98061694501083,0.370232583233772
Female,Randy M. Goldman; Randy M. Goldman,1,0.976539085926452,0.478194288207194
Female,Katie Davis; Katie Davis,1,0.968162450192484,0.582823999925888
Female,Dr. Joan Ringelheim; Dr. Joan Ringelheim,1,0.99026129938216,0.165496741205221
Male,Ina Navazelskis; Ina Navazelskis,5,0.985151594030179,0.395312546363964
Male,Chris Johnson; Chris Johnson,1,0.988924290702869,0.205683652175669
Male,Mr. Scott Miller; Mr. Scott Miller,1,0.983940008568247,0.358326599207055
Female,Vera Frankl; Vera Frankl,1,0.97707472036979,0.449400348694891
Female,Sidney M. Bolkosky; Sidney M. Bolkosky,1,0.986778179228289,0.233710319671491
Female,Peggy Frankston; Peggy Frankston,1,0.980457772455567,0.356521219475445
Female,Ina Navazelskis; Ina Navazelskis,8,0.979508148831653,0.536784756011982
Male,Ann E. Erling Gofus; Ann E. Erling Gofus,1,0.983293751181351,0.349599454476733
Female,Agnieszka McClure; Agnieszka McClure,1,0.981827709159357,0.339830404054278
Male,Duncan Little; Duncan Little,1,0.985089373569855,0.309626246618827
Male,Sandra Bradley; Sandra Bradley,2,0.981270377149048,0.424489919042656
Male,Gail Schwartz; Gail Schwartz,6,0.984656035681694,0.424825601316724
Male,Mira Hodos; Mira Hodos,1,0.967791305844607,0.605332356535919
Female,Gail Schwartz; Gail Schwartz,1,0.9787237741822,0.42698236780786
Male,Anthony Young; Anthony Young,1,0.985676678118921,0.253877697257436
Male,NULL,14,0.981380340198313,0.564575752631271
Male,Jennifer Clayman,1,0.982699051776261,0.39364144298919
Female,Sandra Bradley,2,0.970485643215799,0.72382733745998
Male,Sandra Bradley,2,0.975551207620319,0.532738871034895
Male,Katie Davis,1,0.984252380337036,0.352460363957627
Female,Regine Beyer,3,0.98305092466822,0.425102290210963
Male,Dan Collison,1,0.976733184872978,0.431072994258427
Male,Dan Gedimen; Dan Gedimen,1,0.976154439228576,0.504470468461212
Male,Melissa Block; Melissa Block,1,0.985925256620652,0.32204251553702
Female,Arwin Donohue; Arwin Donohue,1,0.984979153229876,0.237760597164441
Female,NULL,7,0.982951245970741,0.52531115305169
