doc_id,gender,interviewer,topic_1,topic_10,topic_11,topic_12,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9
RG-50.030.0006_trs_en.txt,Male,Linda G. Kuzmack; Linda G. Kuzmack,0.0686404632256506,0.16913150277272,0.0544159280815688,0.027306271800921,0.207867174586132,0.0157887117193008,0.106851959211816,0.112909889721176,0.0715111844735945,0.0409820715099282,0.0806173248946605,0.0439775180025314
RG-50.030.0014_trs_en.txt,Female,Linda G. Kuzmack; Linda G. Kuzmack,0.207817223957562,0.0314612098072701,0.0509346933437861,0.0159965520483941,0.0122887295114773,0.000566937677488932,0.0227296308326174,0.00101045801399044,0.154324026868715,0.0671872164800338,0.218158442863156,0.217524878595508
RG-50.030.0016_trs_en.txt,Male,Randy M. Goldman; Randy M. Goldman,0.0792016879483722,0.0430890269706813,0.0167442761949653,0.134139525585153,0.282173739720669,0.0537367575827694,0.0459511571806341,0.114756153488053,0.00276915689151334,0.064757499171604,0.0960433559863502,0.0666376632792356
RG-50.030.0038_trs_en.txt,Male,Linda G. Kuzmack; Linda G. Kuzmack,0.259664463639103,0.23376547360932,0.0199623622523654,0.0216575314704358,0.185824835799257,0.0435590386976471,0.0577053439470807,0.0321771298448115,0.0364404227007352,0.0323913579351652,0.0340479138000793,0.0428041263040004
RG-50.030.0054_trs_en.txt,Female,Adina Conn; Adina Conn,0.577241090493559,0.00814176581087525,0.0183339407145706,0.0354216773341968,0.0396251304276347,0.0090235667084508,0.0206852551884593,0.0008038749356108,0.0119443618407429,0.0853286690223338,0.0864953109116193,0.106955356611947
RG-50.030.0063_trs_en.txt,Male,Dr. Joan Ringelheim; Dr. Joan Ringelheim,0.026114173174122,0.0823269888706857,0.0171580672463745,0.00397547388800281,0.029824034698142,0.691861455458228,0.0142030892618871,0.0152498432802349,0.0250604496909212,0.0582686057787126,0.0232326280485243,0.0127251906041649
RG-50.030.0069_trs_en.txt,Female,Linda G. Kuzmack; Linda G. Kuzmack,0.156880461677345,0.0403233071406381,0.0804423037461515,0.106015140157586,0.081137578675331,0.00275770380914425,0.0356887744740166,0.00147825564864895,0.00280788334166961,0.152352063327632,0.116972234984734,0.223144293017102
RG-50.030.0074_trs_en.txt,Male,Michael Berenbaum; Dr. Joan Ringelheim,0.0433956080675888,0.271772717717999,0.0134173590986898,0.00526541275791008,0.0867692645301652,0.338948769363904,0.080052648846378,0.010739165362915,0.00348276385551167,0.106886828993799,0.0121267201175057,0.0271427412876338
RG-50.030.0092_trs_en.txt,Male,Linda G. Kuzmack; Linda G. Kuzmack,0.0401100959857419,0.0319105453118118,0.0260106999609661,0.0905856050804321,0.412047134879039,0.00657101962599089,0.261644117211578,0.0125226936398942,0.00262934216873128,0.0340206022771158,0.0186568704445412,0.0632912734141574
RG-50.030.0095_trs_en.txt,Male,Linda G. Kuzmack; Linda G. Kuzmack,0.199428113120893,0.164850324370616,0.0233748336149894,0.0367536201735348,0.0812015900437303,0.156010285575265,0.0784674248038866,0.0131411734359397,0.018508659368261,0.0649998680456137,0.103449679067562,0.0598144283797085
RG-50.030.0103_trs_en.txt,Male,Holly Snyder; Holly Snyder,0.00252303918666031,0.0834359447981383,0.0801978772213339,0.00177557967141888,0.00871100167034193,0.586211192461833,0.0665576327236648,0.00629906071467314,0.050312347509522,0.0614972397587323,0.00909284318844467,0.0433862410952364
RG-50.030.0104_trs_en.txt,Male,Linda G. Kuzmack; Linda G. Kuzmack,0.0443561667945669,0.0502786542411843,0.0211362713434651,0.48630520794058,0.0770136503878281,0.0869096918646033,0.106073133042797,0.0374710398539802,0.00658004125191923,0.0331322506786491,0.00514229095199504,0.0456016016484316
RG-50.030.0122_trs_en.txt,Female,Linda G. Kuzmack; Linda G. Kuzmack,0.31347720073104,0.0189881268534394,0.0297163311452905,0.156326149968502,0.0691744103457787,0.00132015946917688,0.0175556973148807,0.0395867923325646,0.0617744998566074,0.0330689141182189,0.123816314902866,0.135195402961635
RG-50.030.0123_trs_en.txt,Female,Linda G. Kuzmack; Linda G. Kuzmack,0.235159529922976,0.0344269754148951,0.0375146330541609,0.101259020965113,0.298134339015332,0.00110216448764123,0.0419154624497579,0.00514731346313035,0.0038317693356132,0.0522531617711534,0.129326276654191,0.0599293534660362
RG-50.030.0135_trs_en.txt,Male,Linda G. Kuzmack; Linda G. Kuzmack,0.0753321068865004,0.478362716022613,0.0174685328179083,0.0191144255814615,0.0589359828928587,0.140508438059178,0.0385796377050203,0.0127273392083238,0.0100156407973908,0.0696266169138545,0.0300800064756238,0.049248556639267
RG-50.030.0186_trs_en.txt,Female,Linda G. Kuzmack; Linda G. Kuzmack,0.100353922449225,0.0509048807081816,0.0313972014642892,0.0115607388356519,0.0658434306847097,0.0013562939306525,0.00533030986871148,0.0016923292887441,0.00949856327654819,0.0992388119226799,0.551678378033584,0.0711451395370229
RG-50.030.0200_trs_en.txt,Male,Linda G. Kuzmack; Linda G. Kuzmack,0.0757541031797434,0.0595235700214555,0.0300667381492496,0.0780781714098346,0.216813029859743,0.0666156836342379,0.0828236087951099,0.273568723087104,0.00440897779759788,0.0307801021272213,0.0375544139796571,0.0440128779590463
RG-50.030.0211_trs_en.txt,Male,Linda G. Kuzmack; Linda G. Kuzmack,0.216798276642925,0.0285153249849892,0.0174944943080383,0.321758559232093,0.174609235488585,0.0200646019766138,0.127610498391307,0.00968926099807194,0.00980767674096171,0.00501324678353544,0.0083220160865497,0.0603168083663286
