gender,interviewer,total_documents,avg_topic_diversity,max_topic_prevalence
Male,Linda G. Kuzmack; Linda G. Kuzmack,10,0.986654790953469,0.401937952224235
Female,Linda G. Kuzmack; Linda G. Kuzmack,6,0.986303566418681,0.325272826962388
Male,Randy M. Goldman; Randy M. Goldman,4,0.979779152372732,0.515984475006821
Female,Adina Conn; Adina Conn,1,0.982951561184597,0.337887173320762
Male,Dr. Joan Ringelheim; Dr. Joan Ringelheim,5,0.977441818278131,0.613609739093322
Male,Michael Berenbaum; Dr. Joan Ringelheim,1,0.980915140401262,0.435158122569
Male,Holly Snyder; Holly Snyder,1,0.981294945025724,0.407788783066479
Male,Dr. Radu Ioanid; Dr. Radu Ioanid,1,0.988051341596947,0.24234950968845
Female,Sandra Bradley; Sandra Bradley,1,0.987177831065947,0.245483026875075
Male,Judith Goldstein; Judith Goldstein,1,0.968316279648984,0.592828691771014
Female,Randy M. Goldman; Randy M. Goldman,1,0.97323270234438,0.509609352086049
Female,Katie Davis; Katie Davis,1,0.972048981456219,0.541157620685644
Female,Dr. Joan Ringelheim; Dr. Joan Ringelheim,1,0.989245191819653,0.198999637590376
Male,Ina Navazelskis; Ina Navazelskis,5,0.988668019919124,0.310030075273832
Male,Chris Johnson; Chris Johnson,1,0.990724543677883,0.16377489228364
Male,Mr. Scott Miller; Mr. Scott Miller,1,0.987642839683165,0.285809016569487
Female,Vera Frankl; Vera Frankl,1,0.982627073462818,0.391363967372911
Female,Sidney M. Bolkosky; Sidney M. Bolkosky,1,0.983761551389617,0.253664632999173
Female,Peggy Frankston; Peggy Frankston,1,0.980503579609369,0.378724776393529
Female,Ina Navazelskis; Ina Navazelskis,8,0.981374176663439,0.420322078323445
Male,Ann E. Erling Gofus; Ann E. Erling Gofus,1,0.986208790309289,0.290417678047639
Female,Agnieszka McClure; Agnieszka McClure,1,0.986532264267205,0.268516334434987
Male,Duncan Little; Duncan Little,1,0.984121044655788,0.351582158465664
Male,Sandra Bradley; Sandra Bradley,2,0.986653142827129,0.302091204614232
Male,Gail Schwartz; Gail Schwartz,6,0.987100838753873,0.374622013997388
Male,Mira Hodos; Mira Hodos,1,0.984801438965989,0.277664839591468
Female,Gail Schwartz; Gail Schwartz,1,0.983345869775104,0.327279657683412
Male,Anthony Young; Anthony Young,1,0.970359802278933,0.563349333644057
Male,NULL,14,0.98677038981062,0.414047922790041
Male,Jennifer Clayman,1,0.985333435137759,0.313199581904219
Female,Sandra Bradley,2,0.979063128503175,0.537595547047548
Male,Sandra Bradley,2,0.979080158519498,0.441844711160898
Male,Katie Davis,1,0.985876511192392,0.287164640902396
Female,Regine Beyer,3,0.986655486663415,0.328598819022733
Male,Dan Collison,1,0.978668554262512,0.467129481542351
Male,Dan Gedimen; Dan Gedimen,1,0.98938157642176,0.233031531037077
Male,Melissa Block; Melissa Block,1,0.991219115858879,0.177829407638484
Female,Arwin Donohue; Arwin Donohue,1,0.983812299601551,0.314448795404026
Female,NULL,7,0.985827659083377,0.458902481828554
