doc_id,gender,interviewer,topic_1,topic_2,topic_3,topic_4,topic_5
RG-50.030.0006_trs_en.txt,Male,Linda G. Kuzmack; Linda G. Kuzmack,0.375102658993122,0.114103513369144,0.289149558623175,0.102487901002022,0.119156368012537
RG-50.030.0014_trs_en.txt,Female,Linda G. Kuzmack; Linda G. Kuzmack,0.0138964263599387,0.00137037952389515,0.389897815363271,0.163456806141625,0.431378572611271
RG-50.030.0016_trs_en.txt,Male,Randy M. Goldman; Randy M. Goldman,0.646898716815906,0.00583643452063859,0.0762829402215065,0.0556547799790455,0.215327128462903
RG-50.030.0038_trs_en.txt,Male,Linda G. Kuzmack; Linda G. Kuzmack,0.325987247405484,0.0180962972684253,0.535727506315259,0.0364790579190464,0.0837098910917858
RG-50.030.0054_trs_en.txt,Female,Adina Conn; Adina Conn,0.00280217710533775,0.001308719297234,0.891855135793498,0.0619947275025914,0.0420392403013388
RG-50.030.0063_trs_en.txt,Male,Dr. Joan Ringelheim; Dr. Joan Ringelheim,0.0423947649217778,0.803240226707774,0.106436783756951,0.040809865769522,0.00711835884397521
RG-50.030.0069_trs_en.txt,Female,Linda G. Kuzmack; Linda G. Kuzmack,0.0712804607463127,0.0021817466056735,0.445690120396724,0.415395515511546,0.0654521567397435
RG-50.030.0074_trs_en.txt,Male,Michael Berenbaum; Dr. Joan Ringelheim,0.0511042741792221,0.0192848549101709,0.834498532526309,0.0608126830621839,0.0342996553221137
RG-50.030.0092_trs_en.txt,Male,Linda G. Kuzmack; Linda G. Kuzmack,0.638902268970965,0.00161989132970084,0.163806115295731,0.0459353856265974,0.149736338777005
RG-50.030.0095_trs_en.txt,Male,Linda G. Kuzmack; Linda G. Kuzmack,0.18486931560104,0.0242621669574799,0.430675432076457,0.0543251204961464,0.305867964868877
RG-50.030.0103_trs_en.txt,Male,Holly Snyder; Holly Snyder,0.0007129318882284,0.697990620029263,0.131553328027967,0.137913781774168,0.0318293382803733
RG-50.030.0104_trs_en.txt,Male,Linda G. Kuzmack; Linda G. Kuzmack,0.364355962183453,0.00543281831578273,0.511995691386002,0.0599970874777305,0.0582184406370322
RG-50.030.0122_trs_en.txt,Female,Linda G. Kuzmack; Linda G. Kuzmack,0.00535852554303843,0.00108356807997461,0.844384379356473,0.117230836831043,0.0319426901894709
RG-50.030.0123_trs_en.txt,Female,Linda G. Kuzmack; Linda G. Kuzmack,0.0425280671738427,0.00113851855744271,0.821996417559104,0.0751904361071089,0.0591465606025017
RG-50.030.0135_trs_en.txt,Male,Linda G. Kuzmack; Linda G. Kuzmack,0.0499208723506586,0.00526999739031806,0.849049491052002,0.0591469152403461,0.0366127239666751
RG-50.030.0186_trs_en.txt,Female,Linda G. Kuzmack; Linda G. Kuzmack,0.0134714515655703,0.00359653365381711,0.182497676492021,0.0565644490922007,0.743869889196391
RG-50.030.0200_trs_en.txt,Male,Linda G. Kuzmack; Linda G. Kuzmack,0.611506241391752,0.00597631517823532,0.130683055415167,0.0907038577021338,0.161130530312711
RG-50.030.0211_trs_en.txt,Male,Linda G. Kuzmack; Linda G. Kuzmack,0.748002719511895,0.00182763565607297,0.0871084841553857,0.0569809661610165,0.10608019451563
RG-50.030.0215_trs_en.txt,Male,Linda G. Kuzmack; Linda G. Kuzmack,0.492147576841997,0.00159502610105842,0.172173949264473,0.0702545053528463,0.263828942439626
RG-50.030.0217_trs_en.txt,Male,Linda G. Kuzmack; Linda G. Kuzmack,0.417404485295288,0.00141120077740295,0.0416131710776519,0.0556771829316874,0.48389395991797
RG-50.030.0264_trs_en.txt,Female,Linda G. Kuzmack; Linda G. Kuzmack,0.00901810029509118,0.00153994161283223,0.555624013736985,0.145151997997734,0.288665946357357
RG-50.030.0276_trs_en.txt,Male,Dr. Radu Ioanid; Dr. Radu Ioanid,0.655688246486642,0.0108510192719761,0.0567023809115974,0.0921297378649936,0.184628615464791
RG-50.030.0284_trs_en.txt,Male,Dr. Joan Ringelheim; Dr. Joan Ringelheim,0.0570906843693617,0.0647426879612311,0.748783847020706,0.0408687068458751,0.0885140738028266
RG-50.030.0293_trs_en.txt,Female,Sandra Bradley; Sandra Bradley,0.0345496355459243,0.0125341735054469,0.822597363083513,0.0904713179653588,0.0398475098997571
RG-50.030.0301_trs_en.txt,Male,Dr. Joan Ringelheim; Dr. Joan Ringelheim,0.0527140044387031,0.861220820264055,0.0289440308151806,0.0318275131132746,0.0252936313687869
RG-50.030.0314_trs_en.txt,Male,Randy M. Goldman; Randy M. Goldman,0.0258094852062636,0.218652738849175,0.564468848178322,0.0886486268662833,0.102420300899956
RG-50.030.0330_trs_en.txt,Male,Judith Goldstein; Judith Goldstein,0.000813111787485331,0.646632975110573,0.00642091210944763,0.123978790280868,0.222154210711626
RG-50.030.0335_trs_en.txt,Male,Randy M. Goldman; Randy M. Goldman,0.0257595355016389,0.00838449142168528,0.919732922480832,0.0369044139934346,0.00921863660240951
RG-50.030.0358_trs_en.txt,Female,Randy M. Goldman; Randy M. Goldman,0.860935587800008,0.00151943623046363,0.0165739060109377,0.0809583691642297,0.0400127007943611
RG-50.030.0400_trs_en.txt,Female,Katie Davis; Katie Davis,0.883327542166276,0.000113800573090862,0.000230876267633926,0.115816094830451,0.000511686162548608
RG-50.030.0406_trs_en.txt,Male,Dr. Joan Ringelheim; Dr. Joan Ringelheim,0.27131641048979,0.554805196453911,0.0149478151949355,0.138293316792785,0.0206372610685783
