topic,interviewer_baseline,interviewer_comparison,interviewer_effect,interviewer_se,interviewer_p
1,Adina Conn; Adina Conn,Agnieszka McClure; Agnieszka McClure,-0.00242460491768953,0.054554243454587,0.964554577603947
1,Adina Conn; Adina Conn,Ann E. Erling Gofus; Ann E. Erling Gofus,0.0754529668802433,0.0581891356918315,0.194875589768137
1,Adina Conn; Adina Conn,Anthony Young; Anthony Young,-0.0795589819695105,0.0764615771280523,0.298217628178791
1,Adina Conn; Adina Conn,Arwin Donohue; Arwin Donohue,0.00117193336982224,0.0388733816422401,0.975952190727657
1,Adina Conn; Adina Conn,Chris Johnson; Chris Johnson,0.030841257702769,0.0580951373792434,0.595558944835891
1,Adina Conn; Adina Conn,Dan Collison,0.330710357609628,0.0809345835230514,4.54319133878747e-05
1,Adina Conn; Adina Conn,Dan Gedimen; Dan Gedimen,0.163018293596846,0.0436927632508738,0.000195538680597703
1,Adina Conn; Adina Conn,Dr. Joan Ringelheim; Dr. Joan Ringelheim,0.0997226511778468,0.0335364954990618,0.00297568229931443
1,Adina Conn; Adina Conn,Dr. Radu Ioanid; Dr. Radu Ioanid,-0.0616906261895131,0.0505650287280232,0.222585900133162
1,Adina Conn; Adina Conn,Duncan Little; Duncan Little,-0.0195663611045724,0.0595986179629768,0.742714362768146
1,Adina Conn; Adina Conn,Gail Schwartz; Gail Schwartz,-0.0184637859369535,0.0331067372251586,0.577102702217706
1,Adina Conn; Adina Conn,Holly Snyder; Holly Snyder,0.397783001164957,0.0876980586620322,6.04627492616222e-06
1,Adina Conn; Adina Conn,Ina Navazelskis; Ina Navazelskis,-0.0335022213930837,0.0322198594443213,0.298546869928171
1,Adina Conn; Adina Conn,Jennifer Clayman,-0.0491030896264336,0.0471264499982131,0.297552391980404
1,Adina Conn; Adina Conn,Judith Goldstein; Judith Goldstein,0.0365784580520387,0.057190329439229,0.522504665345439
1,Adina Conn; Adina Conn,Katie Davis,0.226054649829476,0.0523247843031908,1.62801076300379e-05
