gender,interviewer,total_documents,avg_topic_diversity,max_topic_prevalence
Male,Linda G. Kuzmack; Linda G. Kuzmack,10,0.983316433769093,0.633728927582281
Female,Linda G. Kuzmack; Linda G. Kuzmack,6,0.986038056479991,0.365195148020624
Male,Randy M. Goldman; Randy M. Goldman,4,0.977492665440875,0.641306845225983
Female,Adina Conn; Adina Conn,1,0.985506005497089,0.243524991373086
Male,Dr. Joan Ringelheim; Dr. Joan Ringelheim,5,0.974593537549915,0.621265492028101
Male,Michael Berenbaum; Dr. Joan Ringelheim,1,0.983183413728742,0.374752226160199
Male,Holly Snyder; Holly Snyder,1,0.97273438257944,0.519084374671289
Male,Dr. Radu Ioanid; Dr. Radu Ioanid,1,0.986398457404817,0.26128118269413
Female,Sandra Bradley; Sandra Bradley,1,0.987800037546938,0.260725651855356
Male,Judith Goldstein; Judith Goldstein,1,0.984478299454428,0.287649183385851
Female,Randy M. Goldman; Randy M. Goldman,1,0.977394528150342,0.417251002509876
Female,Katie Davis; Katie Davis,1,0.984151345899679,0.348978042431285
Female,Dr. Joan Ringelheim; Dr. Joan Ringelheim,1,0.987719334067451,0.243647963345186
Male,Ina Navazelskis; Ina Navazelskis,5,0.987961488678311,0.319340820265791
Male,Chris Johnson; Chris Johnson,1,0.990072714804695,0.156844563087694
Male,Mr. Scott Miller; Mr. Scott Miller,1,0.979511581162283,0.435303544634179
Female,Vera Frankl; Vera Frankl,1,0.974498275296477,0.494774364919093
Female,Sidney M. Bolkosky; Sidney M. Bolkosky,1,0.988940561015491,0.207140957361092
Female,Peggy Frankston; Peggy Frankston,1,0.97385414345992,0.492604700000533
Female,Ina Navazelskis; Ina Navazelskis,8,0.982172791231954,0.498840356025445
Male,Ann E. Erling Gofus; Ann E. Erling Gofus,1,0.985882822154921,0.310567053371892
Female,Agnieszka McClure; Agnieszka McClure,1,0.986473083186423,0.230356052442402
Male,Duncan Little; Duncan Little,1,0.978858410016409,0.453031595409426
Male,Sandra Bradley; Sandra Bradley,2,0.976700883045094,0.520709190990275
Male,Gail Schwartz; Gail Schwartz,6,0.986483931624072,0.34157768825994
Male,Mira Hodos; Mira Hodos,1,0.981346489298135,0.421669579853319
Female,Gail Schwartz; Gail Schwartz,1,0.981950252333756,0.399118538563713
Male,Anthony Young; Anthony Young,1,0.963168381165493,0.641174007566596
Male,NULL,14,0.982635648878893,0.550366583043236
Male,Jennifer Clayman,1,0.987287305960423,0.308694488599615
Female,Sandra Bradley,2,0.964685487024805,0.769055522945656
Male,Sandra Bradley,2,0.961948498623872,0.780403891659048
Male,Katie Davis,1,0.985532158105093,0.313862647787725
Female,Regine Beyer,3,0.986021076225993,0.326678032875703
Male,Dan Collison,1,0.97940682417804,0.439018217073294
Male,Dan Gedimen; Dan Gedimen,1,0.987643687024179,0.2427095353959
Male,Melissa Block; Melissa Block,1,0.989567736265404,0.214095593130827
Female,Arwin Donohue; Arwin Donohue,1,0.983126229454124,0.284897234950912
Female,NULL,7,0.982057058642838,0.552068771156986
