gender,interviewer,total_documents,avg_topic_diversity,max_topic_prevalence
Male,Linda G. Kuzmack; Linda G. Kuzmack,10,0.977666814882071,0.608334777901635
Female,Linda G. Kuzmack; Linda G. Kuzmack,6,0.976167978022852,0.640345225300067
Male,Randy M. Goldman; Randy M. Goldman,4,0.973331332614744,0.650947189978471
Female,Adina Conn; Adina Conn,1,0.961073976170972,0.633632762221825
Male,Dr. Joan Ringelheim; Dr. Joan Ringelheim,5,0.96489192477424,0.749732839611524
Male,Michael Berenbaum; Dr. Joan Ringelheim,1,0.97731604563142,0.431539755751002
Male,Holly Snyder; Holly Snyder,1,0.958855873641359,0.654929858391024
Male,Dr. Radu Ioanid; Dr. Radu Ioanid,1,0.982754336237687,0.325740288287894
Female,Sandra Bradley; Sandra Bradley,1,0.979750635679063,0.402244340751761
Male,Judith Goldstein; Judith Goldstein,1,0.961528297761188,0.611416845196581
Female,Randy M. Goldman; Randy M. Goldman,1,0.97033935695623,0.492254809229778
Female,Katie Davis; Katie Davis,1,0.96258313695372,0.563212584563626
Female,Dr. Joan Ringelheim; Dr. Joan Ringelheim,1,0.984590635345281,0.292665272007372
Male,Ina Navazelskis; Ina Navazelskis,5,0.983830891422309,0.413386726322056
Male,Chris Johnson; Chris Johnson,1,0.981261266419143,0.385734807053431
Male,Mr. Scott Miller; Mr. Scott Miller,1,0.975817405457919,0.452434992347029
Female,Vera Frankl; Vera Frankl,1,0.978519350959281,0.380794636165137
Female,Sidney M. Bolkosky; Sidney M. Bolkosky,1,0.979768422370007,0.36807630031196
Female,Peggy Frankston; Peggy Frankston,1,0.979802831789338,0.371600754968964
Female,Ina Navazelskis; Ina Navazelskis,8,0.974639842191376,0.621513963815773
Male,Ann E. Erling Gofus; Ann E. Erling Gofus,1,0.983525567578236,0.235455796603043
Female,Agnieszka McClure; Agnieszka McClure,1,0.979001377225475,0.347665527659028
Male,Duncan Little; Duncan Little,1,0.975789504110985,0.455695232403362
Male,Sandra Bradley; Sandra Bradley,2,0.975059225843828,0.544512173175109
Male,Gail Schwartz; Gail Schwartz,6,0.980609930326695,0.578480819367026
Male,Mira Hodos; Mira Hodos,1,0.974087008311808,0.486725442596133
Female,Gail Schwartz; Gail Schwartz,1,0.980090046109843,0.403839094064086
Male,Anthony Young; Anthony Young,1,0.971212262283132,0.472476487611128
Male,NULL,14,0.981344503738295,0.784325736251031
Male,Jennifer Clayman,1,0.983102566329343,0.338811643890373
Female,Sandra Bradley,2,0.974536962747658,0.586314857949776
Male,Sandra Bradley,2,0.95856569611547,0.701061264630937
Male,Katie Davis,1,0.981943253354573,0.380374265523811
Female,Regine Beyer,3,0.985862693354684,0.258384837641817
Male,Dan Collison,1,0.967154424264952,0.566339115422246
Male,Dan Gedimen; Dan Gedimen,1,0.987855073085159,0.224750149429595
Male,Melissa Block; Melissa Block,1,0.988698300785157,0.195397045403458
Female,Arwin Donohue; Arwin Donohue,1,0.980978444741202,0.304933710818321
Female,NULL,7,0.98332469706996,0.474291269453939
