doc_id,gender,interviewer,topic_1,topic_10,topic_11,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9
RG-50.030.0006_trs_en.txt,Male,Linda G. Kuzmack; Linda G. Kuzmack,0.000578136301421427,0.22607675270326,0.0316654025040615,0.141855014218035,0.047119384065966,0.0361117585399506,0.0846697843852285,0.0757518619796587,0.16262968592203,0.0989192408953847,0.0946229784850027
RG-50.030.0014_trs_en.txt,Female,Linda G. Kuzmack; Linda G. Kuzmack,0.00074489592234121,0.00252856307432785,0.0434414549106072,0.0140097776598978,0.0242853244943007,0.0562472311240379,0.405309595018659,0.0669911824017446,0.316043407537419,0.0273854727132006,0.0430130951434643
RG-50.030.0016_trs_en.txt,Male,Randy M. Goldman; Randy M. Goldman,0.000388053621904139,0.184257045368788,0.025916999455842,0.377141508425296,0.0366391884400237,0.136874658475627,0.0875112799733606,0.0229250360662388,0.0186713350712553,0.0714761012788608,0.038198793822804
RG-50.030.0038_trs_en.txt,Male,Linda G. Kuzmack; Linda G. Kuzmack,0.000723128969896578,0.0694514771030886,0.0289226786363481,0.0625194097031579,0.0348283736805997,0.0142877569741291,0.0266608164438724,0.0340981878190411,0.608334777901635,0.0398433559094788,0.080330036858753
RG-50.030.0054_trs_en.txt,Female,Adina Conn; Adina Conn,0.000999924999565633,0.003732602011008,0.0284300156703559,0.0917728499747244,0.0448574664230418,0.0324666527649214,0.116014497634993,0.0260961994914758,0.633632762221825,0.0119326032460408,0.0100644255620478
RG-50.030.0063_trs_en.txt,Male,Dr. Joan Ringelheim; Dr. Joan Ringelheim,0.000336723459502558,0.0346569969376052,0.0484800819654935,0.0427152046519881,0.0290992503186629,0.00733453503145487,0.0132744265041919,0.0356438699992908,0.0262458477915747,0.0820656492493636,0.680147414090872
RG-50.030.0069_trs_en.txt,Female,Linda G. Kuzmack; Linda G. Kuzmack,0.000561729358863254,0.00598765430253409,0.0433837150049278,0.147582514876578,0.065870456147359,0.292456054016137,0.161360608502322,0.116007919111092,0.109361224004304,0.0558427225724035,0.00158540210347942
RG-50.030.0074_trs_en.txt,Male,Michael Berenbaum; Dr. Joan Ringelheim,0.000201911891447418,0.100354920462052,0.0422384295974517,0.0343813133818749,0.0783903465228017,0.0173833156019287,0.0416653837765253,0.0237139260877636,0.0283647793548534,0.431539755751002,0.201765917572299
RG-50.030.0092_trs_en.txt,Male,Linda G. Kuzmack; Linda G. Kuzmack,6.80157094318524e-05,0.100819963624396,0.00903970624314628,0.209006154944403,0.0126370681029994,0.53169776959381,0.0243375147727893,0.0292896806592505,0.0367694575069244,0.0393808006386976,0.0069538682041521
RG-50.030.0095_trs_en.txt,Male,Linda G. Kuzmack; Linda G. Kuzmack,0.000564396990728133,0.068269719637514,0.0415227456895312,0.0510346811227485,0.0316426283168446,0.0653038456206236,0.0986367394942996,0.0342215003464931,0.235197751514275,0.201072011432805,0.172533979834137
RG-50.030.0103_trs_en.txt,Male,Holly Snyder; Holly Snyder,0.011707805220894,0.023966542052054,0.023991281425205,0.00486067847752719,0.0471242291351076,0.0056055426312006,0.069331005370822,0.116642289006375,0.00089611141684913,0.0409446568729414,0.654929858391024
RG-50.030.0104_trs_en.txt,Male,Linda G. Kuzmack; Linda G. Kuzmack,0.000355345334974321,0.493476805588011,0.0415885099389713,0.0884357515612914,0.0385336738795123,0.130791731146729,0.0171596596606967,0.0634061444777568,0.0272693769799898,0.0567081338605417,0.0422748675715262
RG-50.030.0122_trs_en.txt,Female,Linda G. Kuzmack; Linda G. Kuzmack,0.000900687674494775,0.0165726993731071,0.0216620601784035,0.0566716675475719,0.0342983502691222,0.0631575827505333,0.111067940195061,0.0402395204365277,0.640345225300067,0.0101413000550841,0.00494296622002758
RG-50.030.0123_trs_en.txt,Female,Linda G. Kuzmack; Linda G. Kuzmack,0.000480008605906078,0.0250599186039314,0.0412636304760608,0.29552874380987,0.0343573919188179,0.184444832247588,0.0352734544984921,0.0433354193421732,0.30004779625093,0.0388441189400968,0.00136468530613319
RG-50.030.0135_trs_en.txt,Male,Linda G. Kuzmack; Linda G. Kuzmack,0.0008748252669435,0.067452864063251,0.0294724151303675,0.0308655862716368,0.0346019197027591,0.0221605643902599,0.0373941380414371,0.0422063481941782,0.0867377329152121,0.558400939169892,0.0898326668540631
RG-50.030.0186_trs_en.txt,Female,Linda G. Kuzmack; Linda G. Kuzmack,0.00188348456118267,0.010393631803152,0.153668466034815,0.0973127390775472,0.0557839704584471,0.0159387773123342,0.279832293250437,0.0344776837056822,0.292770844421696,0.0538267351575341,0.00411137421717173
RG-50.030.0200_trs_en.txt,Male,Linda G. Kuzmack; Linda G. Kuzmack,0.000911150253643293,0.43396953957499,0.0681902661437297,0.119544604983232,0.0273506892952318,0.055479514183352,0.0467510596690924,0.0514481143891882,0.101350251640562,0.0471138875230472,0.0478909223439321
RG-50.030.0211_trs_en.txt,Male,Linda G. Kuzmack; Linda G. Kuzmack,0.000144933512795451,0.302338761988677,0.00699416112374279,0.177165143814359,0.00643561808547449,0.19018593749074,0.0324717262778592,0.0299763725640783,0.166324102179889,0.0286517987036979,0.0593114442586868
RG-50.030.0215_trs_en.txt,Male,Linda G. Kuzmack; Linda G. Kuzmack,0.000133142645703801,0.226949227533758,0.0136308881594174,0.191008507930248,0.0107440947345456,0.284004022656955,0.0579664851279926,0.0423275431202285,0.0459672554238114,0.0987530231055882,0.0285158095617512
