gender,interviewer,total_documents,avg_topic_diversity,max_topic_prevalence
Male,Linda G. Kuzmack; Linda G. Kuzmack,10,0.913262114344626,0.849049491052002
Female,Linda G. Kuzmack; Linda G. Kuzmack,6,0.894558582186651,0.844384379356473
Male,Randy M. Goldman; Randy M. Goldman,4,0.893749674639634,0.919732922480832
Female,Adina Conn; Adina Conn,1,0.83979484157056,0.891855135793498
Male,Dr. Joan Ringelheim; Dr. Joan Ringelheim,5,0.889660583226591,0.861220820264055
Male,Michael Berenbaum; Dr. Joan Ringelheim,1,0.859150799593342,0.834498532526309
Male,Holly Snyder; Holly Snyder,1,0.895093797997087,0.697990620029263
Male,Dr. Radu Ioanid; Dr. Radu Ioanid,1,0.904832880910294,0.655688246486642
Female,Sandra Bradley; Sandra Bradley,1,0.862441982401326,0.822597363083513
Male,Judith Goldstein; Judith Goldstein,1,0.903420134492028,0.646632975110573
Female,Randy M. Goldman; Randy M. Goldman,1,0.850071527369989,0.860935587800008
Female,Katie Davis; Katie Davis,1,0.841263751470312,0.883327542166276
Female,Dr. Joan Ringelheim; Dr. Joan Ringelheim,1,0.89523405019433,0.699900989946472
Male,Ina Navazelskis; Ina Navazelskis,5,0.921140100738999,0.550060501529566
Male,Chris Johnson; Chris Johnson,1,0.928588118515364,0.506124994736674
Male,Mr. Scott Miller; Mr. Scott Miller,1,0.894431658958278,0.710809082506076
Female,Vera Frankl; Vera Frankl,1,0.814578569809426,0.962422069238594
Female,Sidney M. Bolkosky; Sidney M. Bolkosky,1,0.902603984757856,0.593341687678197
Female,Peggy Frankston; Peggy Frankston,1,0.890422862847253,0.685393368883893
Female,Ina Navazelskis; Ina Navazelskis,8,0.88476000980075,0.923719364492536
Male,Ann E. Erling Gofus; Ann E. Erling Gofus,1,0.940972105670798,0.453693593738687
Female,Agnieszka McClure; Agnieszka McClure,1,0.932389258472665,0.376989146902773
Male,Duncan Little; Duncan Little,1,0.885119676177089,0.744089543267384
Male,Sandra Bradley; Sandra Bradley,2,0.881102423828691,0.777684896688934
Male,Gail Schwartz; Gail Schwartz,6,0.923567211782358,0.630671545233251
Male,Mira Hodos; Mira Hodos,1,0.872291490001521,0.785403082522509
Female,Gail Schwartz; Gail Schwartz,1,0.858348537648132,0.832935539812467
Male,Anthony Young; Anthony Young,1,0.924244006402386,0.46547942759983
Male,NULL,14,0.911830155866285,0.789346197230555
Male,Jennifer Clayman,1,0.905626987690439,0.657702520966438
Female,Sandra Bradley,2,0.825931788059416,0.946420144030476
Male,Sandra Bradley,2,0.862589735417972,0.950981705770478
Male,Katie Davis,1,0.882422028435246,0.755635011336686
Female,Regine Beyer,3,0.931277042859502,0.555633473608747
Male,Dan Collison,1,0.92319503092228,0.571480041590685
Male,Dan Gedimen; Dan Gedimen,1,0.890188232749943,0.709250130227727
Male,Melissa Block; Melissa Block,1,0.936693798880662,0.457064261272499
Female,Arwin Donohue; Arwin Donohue,1,0.907398452704889,0.555390513559662
Female,NULL,7,0.881658675636439,0.949999683078542
