topic,gender_effect,gender_se,gender_p
1,-0.0821054732085268,0.0186306161954045,1.09836328148744e-05
2,0.00307855280784083,0.0131825737132246,0.815370040785829
3,0.0778693240404974,0.0159419830950456,1.1112947936553e-06
4,-0.00631298826583122,0.0170182072348741,0.710706783623256
5,0.00699492963518704,0.0157284176443247,0.656557214992272
