topic_number,topic_name,top_15_frex_words,top_15_prob_words,description
1,Topic 1,oral,states,Topic about: oral
2,Topic 2,ghetto,ghetto,Topic about: ghetto
3,Topic 3,vilnius,didn’t,Topic about: vilnius
4,Topic 4,water,took,Topic about: water
5,Topic 5,thank,don’t,Topic about: thank
6,Topic 6,berlin,says,Topic about: berlin
7,Topic 7,french,thats,Topic about: french
8,Topic 8,benson,bill,Topic about: benson
9,Topic 9,school,school,Topic about: school
10,Topic 10,book,will,Topic about: book
