doc_id,gender,year,topic_1,topic_10,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9
RG-50.030.0001_trs_en.txt,Male,1994,0.0228905859590185,0.0284605378268006,0.0584800085486877,0.0920411789903343,0.546704681000971,0.0683980537074311,0.0316220556649976,0.0243937838498155,0.0104241191687245,0.116584995283219
RG-50.030.0023_trs_en.txt,Female,1990,0.0560009730957676,0.0103321376039732,0.00652696779085401,0.00546227328820696,0.572948101184104,0.22323016421221,0.0235359157565873,0.0210638984076554,0.0622395960009158,0.0186599726597253
RG-50.030.0074_trs_en.txt,Male,1992,0.0246168050982172,0.0518943607047204,0.0126592251755716,0.00888421379265191,0.074328974143114,0.0414204215045696,0.0508993436029623,0.676637524602414,0.00564906000910358,0.0530100713666758
RG-50.030.0076_trs_en.txt,Female,1989,0.0483785647774372,0.0305576254991821,0.0214132145822685,0.00340492677027207,0.199703616173637,0.245917202870452,0.0287984273354525,0.0996149832022737,0.0565973953441559,0.265614043444868
RG-50.030.0097_trs_en.txt,Male,1989,0.0734682621705047,0.0591590582841151,0.131357388275482,0.0208190429009511,0.0506425775448704,0.0696724419418159,0.0403052994273688,0.465730491401636,0.00822587570225138,0.0806195623510047
RG-50.030.0128_trs_en.txt,Male,1990,0.0560869376761531,0.0418017723365775,0.00926926850125774,0.00336846156536703,0.176942297719512,0.019418479036314,0.0719457365011884,0.53190017601595,0.0151792866959286,0.0740875839517517
RG-50.030.0147_trs_en.txt,Male,1989,0.0340683099536305,0.0157120986694473,0.0385359857337016,0.0131551654951133,0.197967921581753,0.166180434916446,0.011987727325909,0.247316789754695,0.111656249588252,0.163419316981054
RG-50.030.0168_trs_en.txt,Female,1989,0.0569312605015516,0.00347519567506567,0.0171193744320175,0.00605800054476644,0.658473972382506,0.0509076065715216,0.0574586625019178,0.00420746513743342,0.011037183354285,0.134331278898935
RG-50.030.0176_trs_en.txt,Female,1994,0.0326183133281151,0.0280872989667325,0.0392710045906031,0.0056045308687234,0.548144197185291,0.0227456925629969,0.106079828720309,0.011059880435421,0.0472330642676365,0.159156189074171
RG-50.030.0181_trs_en.txt,Male,1992,0.0694709729642768,0.0497370763483633,0.00600003241215448,0.00352064236197496,0.110888480197539,0.0968942453925726,0.0290659038079524,0.587512566127601,0.00727509418935357,0.0396349861982114
RG-50.030.0233_trs_en.txt,Male,1990,0.0250816881475079,0.0112642992708247,0.0542076877564092,0.0117774520163809,0.697830322148224,0.0230741809878966,0.0455136650105281,0.0506344889234338,0.0236928541059367,0.0569233616328578
RG-50.030.0268_trs_en.txt,Male,1994,0.0321747406996133,0.0116735108726141,0.0102115709802327,0.00581840139954903,0.0624497175101013,0.0468957386804638,0.00583146724267283,0.804745195249039,0.00580024960339312,0.0143994077623206
RG-50.030.0270_trs_en.txt,Female,1994,0.0182905274500196,0.0150572354628958,0.0130180636324709,0.00371530731611754,0.803161001814208,0.0445556051062836,0.0242842048050672,0.00454501992488959,0.0199445356983898,0.0534284987896574
RG-50.030.0292_trs_en.txt,Male,1994,0.0146186093609075,0.0207333018246784,0.5708151324679,0.112656472943696,0.0768948724228067,0.0404462395341434,0.0932034856275315,0.0245667714993962,0.00248755486739255,0.0435775594515477
RG-50.030.0306_trs_en.txt,Male,1995,0.0223737350171251,0.0176753434840642,0.0256647402392229,0.00473045287283708,0.116589380874819,0.0463689794457555,0.028656936772729,0.612920631791827,0.0344661445450801,0.0905536549565397
RG-50.030.0315_trs_en.txt,Male,1991,0.0374030082085731,0.0565923304496478,0.586108308875989,0.0533100178612173,0.0511756630682857,0.0514570166383674,0.0161689835242723,0.0694958986104751,0.00526829626361068,0.0730204764995619
RG-50.030.0356_trs_en.txt,Female,1995,0.0244450021682652,0.029682721836953,0.0303633225766986,0.00218429970867638,0.166021732431711,0.139304789960236,0.0434019171503772,0.311624851874455,0.0640121692729872,0.188959193019641
RG-50.030.0388_trs_en.txt,Male,1998,0.021485107158882,0.0986448236134349,0.216477900029087,0.210432212550161,0.163260706913937,0.10512536746048,0.129872051523123,0.00699874777040204,0.00194107244713448,0.0457620105333591
RG-50.030.0413_trs_en.txt,Male,2001,0.0216880921755587,0.0901162605128675,0.12452556504584,0.202265134735897,0.109505440713702,0.134736724383776,0.0762769883534626,0.0239401119605177,0.00409393508029283,0.212851747038087
RG-50.030.0461_trs_en.txt,Female,2000,0.0374888221043724,0.0293541799067039,0.0321958116983138,0.042686958767613,0.196442093584134,0.426741853244169,0.0763022131998544,0.0427109053273576,0.00901033323776509,0.107066828929717
RG-50.030.0510_trs_en.txt,Female,2006,0.0625199413883018,0.030908162206498,0.00514734261401499,0.0122920472878456,0.0458050929313,0.203570203284801,0.124769865097206,0.0060068085715167,0.125172368090359,0.383808168528156
RG-50.030.0519_trs_en.txt,Male,2007,0.0417541507799678,0.0305483695001053,0.005915247120523,0.090026228633806,0.185621671536142,0.164858149093432,0.416273983601351,0.0032693982695184,0.00113756272096676,0.0605952387441869
RG-50.030.0527_trs_en.txt,Female,2008,0.0160049376748288,0.0273769378851687,0.182385566670162,0.404064396636436,0.0641321135517708,0.0848792587355965,0.109142642718836,0.00774943975568025,0.00405118585857592,0.100213520512946
RG-50.030.0529_trs_en.txt,Male,2009,0.0130415020177825,0.0252335565826218,0.00912774118380211,0.0446628250136913,0.391069169830375,0.0708497852101879,0.398506043013195,0.00780616798362319,0.00228282237434009,0.0374203867903807
