doc_id,topic,gender,year,gamma
RG-50.030.0657_trs_en.txt,3,Male,2012,0.50618388803076
RG-50.030.0657_trs_en.txt,9,Male,2012,0.197676291907215
RG-50.030.0657_trs_en.txt,4,Male,2012,0.088661360076724
RG-50.106.0079_trs_en.txt,9,Male,1997,0.450170518055562
RG-50.106.0079_trs_en.txt,5,Male,1997,0.330532438418213
RG-50.106.0079_trs_en.txt,1,Male,1997,0.0705399497117575
RG-50.106.0143_trs_en.txt,9,Male,2001,0.215532327756958
RG-50.106.0143_trs_en.txt,5,Male,2001,0.208396602676577
RG-50.106.0143_trs_en.txt,6,Male,2001,0.14499507993245
RG-50.106.0152_trs_en.txt,5,Female,2002,0.357642050480615
RG-50.106.0152_trs_en.txt,9,Female,2002,0.118804612309905
RG-50.106.0152_trs_en.txt,6,Female,2002,0.117006164612978
RG-50.233.0011_trs_en.txt,9,Female,1992,0.374747903073665
RG-50.233.0011_trs_en.txt,4,Female,1992,0.202094137381701
RG-50.233.0011_trs_en.txt,8,Female,1992,0.13692169043049
RG-50.233.0042_trs_en.txt,3,Male,1992,0.332154604916233
RG-50.233.0042_trs_en.txt,4,Male,1992,0.320857249776819
RG-50.233.0042_trs_en.txt,6,Male,1992,0.103344781295858
RG-50.233.0055_trs_en.txt,4,Male,1992,0.588917209963924
RG-50.233.0055_trs_en.txt,9,Male,1992,0.0873278617239991
RG-50.233.0055_trs_en.txt,5,Male,1992,0.066641467688724
RG-50.233.0125_trs_en.txt,3,Female,1992,0.246117451860786
RG-50.233.0125_trs_en.txt,9,Female,1992,0.224664443339487
RG-50.233.0125_trs_en.txt,4,Female,1992,0.191339843878438
RG-50.233.0135_trs_en.txt,4,Male,1992,0.307316882437134
RG-50.233.0135_trs_en.txt,6,Male,1992,0.158860473038836
RG-50.233.0135_trs_en.txt,5,Male,1992,0.158147887477123
RG-50.344.0008_trs_en.txt,5,Female,1995,0.379077520145553
RG-50.344.0008_trs_en.txt,4,Female,1995,0.194263171888946
RG-50.344.0008_trs_en.txt,9,Female,1995,0.175826983135887
RG-50.470.0023_trs_en.txt,8,Female,1995,0.407907774362827
RG-50.470.0023_trs_en.txt,2,Female,1995,0.111274657672804
RG-50.470.0023_trs_en.txt,4,Female,1995,0.108560314470444
RG-50.471.0010_trs_en.txt,2,Male,1997,0.846537293342746
RG-50.471.0010_trs_en.txt,9,Male,1997,0.0397981901487825
RG-50.471.0010_trs_en.txt,4,Male,1997,0.0330034134610561
RG-50.549.02.0006_trs_en.txt,5,Female,1997,0.391412978819456
RG-50.549.02.0006_trs_en.txt,9,Female,1997,0.216936152408134
